"set_id";"PA";"PA_se";"Sample_size";"Boat_code";"Boat_name";"Sampler";"Date";"Fishing_mode";"Code.FAO";"longitude_dec";"latitude_dec"
"20221130_1_6820_228";27,6380693113664;0,367862719692719;16;889;"FRANCHE TERRE";"FILY";2022-11-30;"FAD";"BET";68,33333;2,46666667
"20210504_2_5326_318";32,757699926715;2,41045074847391;10;891;"BERNICA";"WAIN";2021-05-04;"FS";"SKJ";53,43333;-3,3
"20210517_1_4852_10";34,2247939073117;0,377130798943028;17;891;"BERNICA";"WAIN";2021-05-17;"FAD";"SKJ";48,86667;0,16666667
"20210606_1_5622_208";32,4447456471276;1,83117883510468;20;891;"BERNICA";"WAIN";2021-06-06;"FAD";"SKJ";56,36667;2,13333333
"20210611_1_5236_22";31,5363610430757;0,511353062015489;19;891;"BERNICA";"WAIN";2021-06-11;"FS";"SKJ";52,6;0,36666667
"20210626_1_4939_106";29,9816985976719;1,66385717838984;16;891;"BERNICA";"WAIN";2021-06-26;"FAD";"SKJ";49,65;1,1
"20220608_1_5825_325";27,1890629704327;0,486910486921369;20;889;"FRANCHE TERRE";"GIRARDIN";2022-06-08;"FAD";"SKJ";58,41667;3,41666667
"20220618_1_6909_403";26,3180507487794;0,944335225462467;8;889;"FRANCHE TERRE";"GIRARDIN";2022-06-18;"FAD";"SKJ";69,15;4,05
"20220721_1_6314_220";31,2462998017109;0,630863671995057;21;889;"FRANCHE TERRE";"GIRARDIN";2022-07-21;"FAD";"SKJ";63,23333;2,33333333
"20220928_1_4829_1";26,9386672543344;0,726421720746701;20;760;"GLENAN";"SOMMEVILLE";2022-09-28;"FAD";"SKJ";48,48333;0,01666667
"20220929_1_5151_122";28,0768508231707;0,403518094802506;20;760;"GLENAN";"SOMMEVILLE";2022-09-29;"FAD";"SKJ";51,85;1,36666667
"20220930_1_4819_1";22,8302700723593;0,442748895165192;20;760;"GLENAN";"SOMMEVILLE";2022-09-30;"FAD";"SKJ";48,31667;0,01666667
"20221001_1_5058_121";22,9589240846568;1,23377093302012;20;760;"GLENAN";"SOMMEVILLE";2022-10-01;"FAD";"SKJ";50,96667;1,35
"20221004_1_5000_114";22,7722022753867;0,434617434779488;20;760;"GLENAN";"SOMMEVILLE";2022-10-04;"FAD";"SKJ";50;1,23333333
"20221127_1_6520_306";29,2066048745075;0,443216290439267;27;889;"FRANCHE TERRE";"FILY";2022-11-27;"FAD";"SKJ";65,33333;3,1
"20230126_1_6441_440";23,6037597930113;0,371930873704085;24;891;"BERNICA";"BOURASSEAU";2023-01-26;"FAD";"SKJ";64,68333;4,66666667
"20230208_1_5917_603";21,9854655837234;0,385505582287175;20;891;"BERNICA";"BOURASSEAU";2023-02-08;"FAD";"SKJ";59,28333;6,05
"20230213_2_5449_332";21,4908391282835;0,364103180493257;20;891;"BERNICA";"BOURASSEAU";2023-02-13;"FAD";"SKJ";54,81667;-3,53333333
"20230227_2_4914_419";20,7293815456988;0,296022459187545;22;891;"BERNICA";"BOURASSEAU";2023-02-27;"FAD";"SKJ";49,23333;-4,31666667
"20230302_2_4927_427";20,7646362809515;0,406764932227209;20;891;"BERNICA";"BOURASSEAU";2023-03-02;"FAD";"SKJ";49,45;-4,45
"20230312_2_5240_322";21,2594197624404;0,27009435660105;20;891;"BERNICA";"BOURASSEAU";2023-03-12;"FAD";"SKJ";52,66667;-3,36666667
"20210513_1_5411_135";30,2692212096006;0,982447249627184;12;891;"BERNICA";"WAIN";2021-05-13;"FAD";"YFT";54,18333;1,58333333
"20210521_2_5321_49";35,5405587922619;2,21560517403572;16;891;"BERNICA";"WAIN";2021-05-21;"FAD";"YFT";53,35;-0,81666667
"20210625_1_5007_124";27,0968324586454;1,2765798552807;16;891;"BERNICA";"WAIN";2021-06-25;"FAD";"YFT";50,11667;1,4
"20210627_1_4943_110";28,6595966520897;0,919056900876094;17;891;"BERNICA";"WAIN";2021-06-27;"FAD";"YFT";49,71667;1,16666667
"20220729_2_5453_154";27,9640143184285;0,511464743973548;15;889;"FRANCHE TERRE";"GIRARDIN";2022-07-29;"FAD";"YFT";54,88333;-1,9
"20220929_1_5205_59";23,9964337197117;0,925095722233866;20;760;"GLENAN";"SOMMEVILLE";2022-09-29;"FAD";"YFT";52,08333;0,98333333
"20221121_1_5029_122";25,5383624637086;0,353615753790025;18;889;"FRANCHE TERRE";"FILY";2022-11-21;"FAD";"YFT";50,48333;1,36666667
"20221123_1_5352_301";27,8196669056063;0,525346282808813;16;889;"FRANCHE TERRE";"FILY";2022-11-23;"FAD";"YFT";53,86667;3,01666667
"20230121_2_5203_112";27,1493755143934;0,287884101595964;19;891;"BERNICA";"BOURASSEAU";2023-01-21;"FAD";"YFT";52,05;-1,2
"20230127_1_6628_643";23,4262727328663;0,440931427650556;20;891;"BERNICA";"BOURASSEAU";2023-01-27;"FAD";"YFT";66,46667;6,71666667
"20230208_1_5817_713";25,2060011378578;0,443650441975432;21;891;"BERNICA";"BOURASSEAU";2023-02-08;"FAD";"YFT";58,28333;7,21666667
"20230301_2_4948_422";19,2650945485815;0,414331940722774;21;891;"BERNICA";"BOURASSEAU";2023-03-01;"FAD";"YFT";49,8;-4,36666667
"20230311_2_5036_358";21,7240401544509;0,483309407234641;21;891;"BERNICA";"BOURASSEAU";2023-03-11;"FAD";"YFT";50,6;-3,96666667
